id_bien,adresse,surf_carrez,nb_lot,type_local,surf_reelle,nb_piece,idcom
78172BN269109,1  RUE DES COTES DE VANNES,57.04,2,Appartement,50,3,2378
78172BK187127,72  RUE DE PIERREFITTE,98.64,1,Maison,56,2,2378
78466AB63259,1  RUE DE FEUCHEROLLES,76.81,2,Appartement,77,3,2383
78498AL6245,133  RUE DE VILLIERS,58.33,1,Appartement,58,3,2385
78172AR14719,53  RUE DESIRE CLEMENT,62.27,1,Appartement,62,3,2378
78380AE1945,10  RUE D ORLEANS,77.92,1,Appartement,98,4,2384
78466AO24649,13  IMP IMPASSE DE BETHEMONT,88.68,1,Maison,89,4,2383
78172AC301225,75  RES ARISTIDE BRIAND,46.24,2,Appartement,46,3,2378
78498BC151229,5  RUE DES SORBIERS,58.07,2,Appartement,57,3,2385
78172AO5231,307 B BD DU GENERAL DE GAULLE,138.49,1,Maison,87,4,2378
78172AW244121,5  ALL DES GRENATS,73.81,1,Appartement,74,3,2378
78401AN1910,69  RUE AUGUSTE RENOIR,104.04,1,Maison,102,6,2387
785BE123104,25  RUE GEORGES BOURGOIN,72,2,Appartement,67,3,2391
78498AT83544,6  BD DE LA PAIX,68.96,1,Appartement,70,3,2385
78498BC151843,15  RUE DES SORBIERS,54.63,2,Appartement,57,3,2385
78466AB63263,1  RUE DE FEUCHEROLLES,88.75,2,Appartement,88,4,2383
78367B21946,7  RUE DE LA MONTJOIE,25.46,1,Appartement,24,1,2392
78138AL2197,5  RUE DES TOURMALINES,65.26,1,Appartement,65,3,2397
78551AI68218,31  RUE DU VIEUX MARCHE,27.98,1,Appartement,27,2,2382
7890AC1502,22  RUE PERNOTTE,66.69,1,Maison,67,4,2396
78172AT542108,39  RUE LOUISE WEISS,75.19,1,Maison,75,4,2378
78642AI4415,13  ALL DES JONQUILLES,40.52,1,Appartement,40,2,2389
78431AD2252,5  CHE DES GRAVIERS,74.25,1,Maison,74,4,2398
78123AH88215,460  RUE CLAUDE MONET,25.83,1,Appartement,26,1,2388
78206AB5242,9  PLA DE FRESNES,63.47,1,Appartement,63,3,2399
78401AO16220,6  ALL SYLVESTRE,48.13,2,Appartement,48,2,2387
785BA10325,3  RUE DES PEUPLIERS,34.13,1,Appartement,33,2,2391
78172AC301183,75  RES ARISTIDE BRIAND,62.28,2,Appartement,60,4,2378
785BC160225,2 B RUE DU 8 MAI 1945,72.32,1,Appartement,72,3,2391
785BC10920,46  AV DE STALINGRAD,24.86,2,Appartement,25,1,2391
785BL275114,5  RUE DES CHAMPS,38.55,1,Appartement,37,2,2391
78123AP312304,45  RUE DES FLEURS,19.83,2,Appartement,18,1,2388
78551AD14421,110  AV MARECHAL FOCH,92.61,2,Appartement,95,3,2382
78551AI1064109,17  RUE DANES DE MONTARDAT,74.67,2,Appartement,74,3,2382
78551AI6732,19  RUE DU VIEUX MARCHE,37.2,2,Appartement,38,1,2382
78172AW2475,1  ALL DE JADE,84.12,1,Maison,86,1,2378
785BA46121,1  RUE ALFRED KASTLER,41.64,1,Appartement,42,1,2391
78401AN192,53  RUE AUGUSTE RENOIR,89.22,1,Maison,88,5,2387
78551251B256173,5011  RES DU CLOS BARON,17.68,1,Appartement,20,1,2382
78401AC32828,9  QUAI DE L ARQUEBUSE,23.86,1,Appartement,24,1,2387
78624AX8711,30  QUAI AUGUSTE ROY,58.02,1,Appartement,56,3,2386
785BA119141,16  AV JEAN MOULIN,33.72,1,Appartement,34,1,2391
78498AW6249,7  RUE PAUL CODOS,79.21,1,Appartement,65,3,2385
78498AZ514280,1  PASS DE NOAILLES,22.69,1,Appartement,22,1,2385
78551AI3274,13  RUE DE PONTOISE,45.49,1,Appartement,55,2,2382
78401AC79724,4  RUE DE TESSANCOURT,56.23,1,Appartement,53,3,2387
78123AP312233,47  RUE DES FLEURS,34.6,1,Appartement,34,2,2388
78551AH197258,1  RUE SALOMON REINACH,85.6,1,Appartement,83,4,2382
78642AA12813,5 B ALL DU GROS CHENE,75.8,1,Appartement,75,3,2389
78481AN1303,1  PL ROYALE,137.8,2,Appartement,128,5,2380
78638AN3976,27  AV DE LA GARE,34.54,1,Appartement,30,1,2400
78440AZ4161,31 B RUE F DUREAU,117.5,1,Maison,117,5,2390
78123AM7051052,423  RUE DANIEL BLERVAQUE,65,1,Appartement,64,3,2388
78403AB4578,36  RUE ALFRED LASSON,49,1,Appartement,67,3,2401
78642AC22367,10  RUE DU PRE ROUSSELIN,78.3,1,Appartement,77,4,2389
78123AK91261,123  RUE DE LA REINE BLANCHE,62.59,1,Appartement,62,3,2388
78172AO112,21  RUE PIERRE LE GUEN,88.76,1,Maison,79,4,2378
78643AD8341,1  IMP CULOISEL,76,1,Maison,95,4,2394
78382AI407371,6  CLOS DU ROY,57.45,2,Appartement,60,2,2379
78551AC22874,121 B RUE LEON DESOYER,85.89,1,Appartement,92,4,2382
78551AB18625,73  RUE PEREIRE,61.64,2,Appartement,63,3,2382
78498AZ514262,1  PASS DE NOAILLES,68.86,1,Appartement,69,3,2385
78551AL13315,10  RUE VOLTAIRE,15.2,1,Appartement,19,1,2382
78498BD236441,36  RUE DE LA BRUYERE,55.24,2,Appartement,58,3,2385
